NAMA DOMAIN,NAMA_OKUPASI,Kode,Nama Unit,KODE_OKUPASI
DATA MANAGEMENT SYSTEM,DATA MANAGEMENT STAFF,TIK.OP01.001.01,Mengetik pada papan ketik (keyboard) standar,010301
DATA MANAGEMENT SYSTEM,DATA MANAGEMENT STAFF,TIK.OP01.002.01,Mengidentifikasi aspek kode etik dan HAKI dibidang TIK,010301
DATA MANAGEMENT SYSTEM,DATA MANAGEMENT STAFF,TIK.OP01.003.01,Mendeskripsikan kewaspasdaan terhadap keamanan informasi,010301
DATA MANAGEMENT SYSTEM,DATA MANAGEMENT STAFF,TIK.OP01.004.01,Mengidentifikasi sistem dan prosedur pengelolaan infrastruktur komputer,010301
DATA MANAGEMENT SYSTEM,DATA MANAGEMENT STAFF,TIK.OP01.005.01,Mengimplementasikan sistem keamanan dan keselamatan pada pengoperasian komputer,010301
DATA MANAGEMENT SYSTEM,DATA MANAGEMENT STAFF,TIK.OP02.006.01,Mengoperasikan Penelusur Web (Web Browser),010301
DATA MANAGEMENT SYSTEM,DATA MANAGEMENT STAFF,TIK.OP02.007.01,Mengoperasikan piranti lunak klien e-mail (e-mail client),010301
DATA MANAGEMENT SYSTEM,DATA MANAGEMENT STAFF,TIK.OP02.011.01,Mengoperasikan piranti lunak presentasi,010301
DATA MANAGEMENT SYSTEM,DATA MANAGEMENT STAFF,TIK.OP02.012.01,Mengoperasikan piranti lunak pengolah kata - tingkat maju,010301
DATA MANAGEMENT SYSTEM,DATA MANAGEMENT STAFF,TIK.OP02.013.01,Mengoperasikan piranti lunak lembar sebar - tingkat maju,010301
DATA MANAGEMENT SYSTEM,DATA MANAGEMENT STAFF,TIK.OP02.014.01,Mempergunakan Piranti Lunak Anti virus,010301
DATA MANAGEMENT SYSTEM,DATA MANAGEMENT STAFF,TIK.OP02.015.01,Mempergunakan perangkat keras dan piranti lunak untuk memindai dokumen gambar,010301
DATA MANAGEMENT SYSTEM,DATA ENTRY OPERATOR,TIK.OP01.001.01,Mengetik pada papan ketik (keyboard) standar,010201
DATA MANAGEMENT SYSTEM,DATA ENTRY OPERATOR,TIK.OP01.002.01,Mengidentifikasi aspek kode etik dan HAKI dibidang TIK,010201
DATA MANAGEMENT SYSTEM,DATA ENTRY OPERATOR,TIK.OP01.003.01,Mendeskripsikan kewaspasdaan terhadap keamanan informasi,010201
DATA MANAGEMENT SYSTEM,DATA ENTRY OPERATOR,TIK.OP01.004.01,Mengidentifikasi sistem dan prosedur pengelolaan infrastruktur komputer,010201
DATA MANAGEMENT SYSTEM,DATA ENTRY OPERATOR,TIK.OP01.005.01,Mengimplementasikan sistem keamanan dan keselamatan pada pengoperasian komputer,010201
DATA MANAGEMENT SYSTEM,DATA ENTRY OPERATOR,TIK.OP02.002.01,Mengoperasikan Printer,010201
DATA MANAGEMENT SYSTEM,DATA ENTRY OPERATOR,TIK.OP02.003.01,Mengoperasikan sistem operasi,010201
DATA MANAGEMENT SYSTEM,DATA ENTRY OPERATOR,TIK.OP02.006.01,Mengoperasikan Penelusur Web (Web Browser),010201
DATA MANAGEMENT SYSTEM,DATA ENTRY OPERATOR,TIK.OP02.007.01,Mengoperasikan piranti lunak klien e-mail (e-mail client),010201
DATA MANAGEMENT SYSTEM,DATA ENTRY OPERATOR,TIK.OP02.011.01,Mengoperasikan piranti lunak presentasi,010201
DATA MANAGEMENT SYSTEM,DATA ENTRY OPERATOR,TIK.OP02.012.01,Mengoperasikan piranti lunak pengolah kata - tingkat maju,010201
DATA MANAGEMENT SYSTEM,DATA ENTRY OPERATOR,TIK.OP02.013.01,Mengoperasikan piranti lunak lembar sebar - tingkat maju,010201
DATA MANAGEMENT SYSTEM,DATA ENTRY CLERK,TIK.OP01.001.01,Mengetik pada papan ketik (keyboard) standar,010101
DATA MANAGEMENT SYSTEM,DATA ENTRY CLERK,TIK.OP01.002.01,Mengidentifikasi aspek kode etik dan HAKI dibidang TIK,010101
DATA MANAGEMENT SYSTEM,DATA ENTRY CLERK,TIK.OP01.003.01,Mendeskripsikan kewaspasdaan terhadap keamanan informasi,010101
DATA MANAGEMENT SYSTEM,DATA ENTRY CLERK,TIK.OP01.004.01,Mengidentifikasi sistem dan prosedur pengelolaan infrastruktur komputer,010101
DATA MANAGEMENT SYSTEM,DATA ENTRY CLERK,TIK.OP01.005.01,Mengimplementasikan sistem keamanan dan keselamatan pada pengoperasian komputer,010101
DATA MANAGEMENT SYSTEM,DATA ENTRY CLERK,TIK.OP02.001.01,Mengoperasikan komputer personal yang berdiri sendiri (PC stand alone),010101
DATA MANAGEMENT SYSTEM,DATA ENTRY CLERK,TIK.OP02.002.01,Mengoperasikan Printer,010101
DATA MANAGEMENT SYSTEM,DATA ENTRY CLERK,TIK.OP02.003.01,Mengoperasikan sistem operasi,010101
DATA MANAGEMENT SYSTEM,DATA ENTRY CLERK,TIK.OP02.004.01,Mengoperasikan piranti lunak pengolah kata (word processor) - tingkat dasar,010101
DATA MANAGEMENT SYSTEM,DATA ENTRY CLERK,TIK.OP02.005.01,Mengoperasikan piranti lunak lembar sebar (spreadsheet) - tingkat dasar,010101
DATA MANAGEMENT SYSTEM,DATA ENTRY CLERK,TIK.OP02.008.01,Mengidentifikasi komponen sistem komputer tingkat dasar (PC),010101
HARDWARE AND DIGITAL PERIPHERALS,COMPUTER MAINTENANCE STAFF,CUADIG201,Maintain interactive content,030301
HARDWARE AND DIGITAL PERIPHERALS,COMPUTER MAINTENANCE STAFF,ICTCBL236,"Install, maintain and modify customer premises communications cabling: ACMA Restricted Rule",030301
HARDWARE AND DIGITAL PERIPHERALS,COMPUTER MAINTENANCE STAFF,ICTSAS201,"Maintain inventories for equipment, software and documentation",030301
